종목코드,회사명
467930.KS,IBKS제23호스팩
469880.KS,하나30호스팩
109670.KS,씨싸이트
439580.KS,블루엠텍
417200.KS,LS머트리얼즈
432470.KS,케이엔에스
465320.KS,교보15호스팩
338840.KS,와이바이오로직스
355690.KS,에이텀
466910.KS,엔에이치스팩30호
453860.KS,에이에스텍
402490.KS,그린리소스
452160.KS,제이엔비
452280.KS,한선엔지니어링
111380.KS,동인기연
448280.KS,에코아이
352090.KS,스톰테크
450080.KS,에코프로머티
452300.KS,캡스톤파트너스
296160.KS,프로젠
365330.KS,에스와이스틸텍
445090.KS,에이직랜드
464440.KS,한국제13호스팩
446540.KS,메가터치
413640.KS,비아이매트릭스
451760.KS,컨텍
372320.KS,큐로셀
088280.KS,쏘닉스
464680.KS,KB제27호스팩
188260.KS,세니젠
290560.KS,신시웨이
240600.KS,유진테크놀로지
221800.KS,유투바이오
432720.KS,퀄리타스반도체
351020.KS,미쥬
396470.KS,워트
246250.KS,에스엘에스바이오
416180.KS,신성에스티
445180.KS,퓨릿
289170.KS,바이오텐
462020.KS,에이치엠씨제6호스팩
451220.KS,아이엠티
443250.KS,레뷰코퍼레이션
454910.KS,두산로보틱스
452980.KS,신한제11호스팩
430690.KS,한싹
418470.KS,KT밀리의서재
450520.KS,인스웨이브
403490.KS,우듬지팜
384470.KS,코어라인소프트
465770.KS,STX그린로지스
452670.KS,상상인제4호스팩
146060.KS,율촌
455310.KS,한화플러스제4호스팩
457630.KS,대신밸런스제16호스팩
444920.KS,유안타제11호스팩
355390.KS,크라우드웍스
458610.KS,한국제12호스팩
418250.KS,시큐레터
424960.KS,스마트레이더시스템
092790.KS,넥스틸
210120.KS,캔버스엔
457940.KS,SK증권제10호스팩
448710.KS,코츠테크놀로지
445680.KS,큐리옥스바이오시스템즈
454750.KS,하나28호스팩
030190.KS,NICE평가정보
440110.KS,파두
373170.KS,엠아이큐브솔루션
429270.KS,시지트로닉스
446440.KS,에피바이오텍
462520.KS,조선내화
172670.KS,에이엘티
450940.KS,유안타제14호스팩
388870.KS,파로스아이바이오
456700.KS,길교이앤씨
438700.KS,버넥트
406820.KS,뷰티스킨
455910.KS,SK증권제9호스팩
432430.KS,와이랩
321370.KS,센서뷰
456570.KS,아이엠지티
378340.KS,필에너지
456490.KS,교보14호스팩
274400.KS,이노시뮬레이션
354320.KS,알멕
440320.KS,오픈놀
232830.KS,아이티센피엔에스
454640.KS,하나29호스팩
455250.KS,KB제25호스팩
451700.KS,엔에이치스팩29호
450050.KS,하이제8호스팩
296520.KS,가이아코퍼레이션
090460.KS,비에이치
460850.KS,동국씨엠
460860.KS,동국제강
303360.KS,프로티아
348080.KS,큐라티스
439090.KS,마녀공장
405920.KS,나라셀라
285800.KS,진영
457190.KS,이수스페셜티케미컬
456040.KS,OCI
420770.KS,기가비스
271830.KS,팸텍
434480.KS,모니터랩
340810.KS,시선AI
456190.KS,큐라켐
446840.KS,지슨
417790.KS,트루엔
012210.KS,삼미금속
304360.KS,에스바이오메딕스
298830.KS,슈어소프트테크
393210.KS,토마토시스템
424980.KS,마이크로투나노
318160.KS,셀바이오휴먼텍
100090.KS,SK오션플랜트
448730.KS,삼성FN리츠
453340.KS,현대그린푸드
448830.KS,미래에셋비전스팩3호
448760.KS,IBKS제22호스팩
448370.KS,하나27호스팩
452260.KS,한화갤러리아
358570.KS,지아이이노베이션
309960.KS,LB인베스트먼트
451800.KS,한화리츠
446150.KS,유안타제12호스팩
356680.KS,엑스게이트
442900.KS,미래에셋드림스팩1호
282720.KS,금양그린파워
418420.KS,라온텍
389020.KS,자람테크놀로지
417010.KS,나노팀
199730.KS,바이오인프라
344860.KS,이노진
127980.KS,화인써키트
418550.KS,제이오
411080.KS,샌즈랩
407400.KS,꿈비
408900.KS,스튜디오미르
419050.KS,삼기에너지솔루션즈
450140.KS,코오롱모빌리티그룹
417860.KS,오브젠
254490.KS,미래반도체
052960.KS,태양3C
425040.KS,티이엠씨
198940.KS,한주라이트메탈
380540.KS,옵티코어
447690.KS,아이오바이오
346010.KS,타이드
162300.KS,신스틸
