종목코드,회사명
244880.KS,나눔테크
112190.KS,KC산업
070960.KS,모나용평
101530.KS,해태제과식품
240810.KS,원익IPS
238500.KS,로보쓰리에이아이
228850.KS,레이언스
228340.KS,동양파일
004440.KS,삼일씨엔에스
222110.KS,팬젠
211270.KS,AP위성
230980.KS,비유테크놀러지
115180.KS,큐리언트
065660.KS,안트로젠
236200.KS,슈프리마
194370.KS,제이에스코퍼레이션
142210.KS,유니트론텍
900250.KS,크리스탈신소재
236340.KS,메디젠휴먼케어
206950.KS,볼빅
232530.KS,이엠티
224060.KS,더코디
109610.KS,에스와이
233990.KS,질경이
226320.KS,잇츠한불
215570.KS,크로넥스
223310.KS,사토시홀딩스
232140.KS,와이씨
191410.KS,육일씨엔에쓰
145020.KS,휴젤
222980.KS,한국맥널티
206560.KS,덱스터
013310.KS,아진산업
047920.KS,HLB제약
217730.KS,강스템바이오텍
234070.KS,에이원알폼
133750.KS,메가엠디
225530.KS,HC보광산업
140860.KS,파크시스템스
230240.KS,에치에프알
122640.KS,예스티
222040.KS,코스맥스엔비티
058110.KS,멕아이씨에스
217820.KS,원익피앤이
075580.KS,세진중공업
221840.KS,하이즈항공
180400.KS,DXVX
221980.KS,케이디켐
212560.KS,네오오토
227950.KS,엔투텍
214370.KS,케어젠
185490.KS,아이진
190510.KS,나무가
056090.KS,시지메드텍
214330.KS,금호에이치티
089590.KS,제주항공
226340.KS,본느
217950.KS,파마리서치바이오
092590.KS,럭스피아
229500.KS,노브메타파마
182400.KS,엔케이맥스
227840.KS,현대코퍼레이션홀딩스
226360.KS,KH 건설
092870.KS,엑시콘
224810.KS,엄지하우스
200580.KS,메디쎄이
225430.KS,케이엠제약
225590.KS,패션플랫폼
079550.KS,LIG넥스원
225570.KS,넥슨게임즈
217190.KS,제너셈
219130.KS,타이거일렉
039570.KS,HDC랩스
002690.KS,동일제강
175140.KS,휴먼테크놀로지
222080.KS,씨아이에스
224110.KS,에이텍모빌리티
196700.KS,웹스
095570.KS,AJ네트웍스
131760.KS,파인텍
222810.KS,세토피아
222800.KS,심텍
189980.KS,흥국에프엔비
222420.KS,쎄노텍
094360.KS,칩스앤미디어
127710.KS,아시아경제
224760.KS,엔에스컴퍼니
214430.KS,아이쓰리시스템
067730.KS,로지시스
222670.KS,플럼라인생명과학
220260.KS,켐트로스
214450.KS,파마리서치
219550.KS,디와이디
087010.KS,펩트론
214320.KS,이노션
214420.KS,토니모리
086220.KS,광동헬스바이오
223220.KS,로지스몬
085620.KS,미래에셋생명
218410.KS,RFHIC
094170.KS,동운아나텍
178780.KS,일월지엠엘
214180.KS,헥토이노베이션
214390.KS,경보제약
216400.KS,인바이츠바이오코아
166480.KS,코아스템켐온
210980.KS,SK디앤디
103660.KS,씨앗
177350.KS,베셀
217270.KS,넵튠
218150.KS,미래생명자원
160980.KS,싸이맥스
217500.KS,러셀
087600.KS,픽셀플러스
217620.KS,선샤인푸드
187420.KS,HLB제넥스
217880.KS,틸론
215380.KS,우정바이오
076340.KS,지에이이노더스
215480.KS,토박스코리아
215790.KS,이노인스트루먼트
215360.KS,우리산업
215200.KS,메가스터디교육
217320.KS,썬테크
215090.KS,솔디펜스
215100.KS,로보로보
214680.KS,디알텍
195990.KS,에이비프로바이오
215000.KS,골프존
214150.KS,클래시스
214270.KS,FSN
145210.KS,다이나믹디자인
189690.KS,포시에스
213420.KS,덕산네오룩스
213500.KS,한솔제지
210540.KS,디와이파워
060480.KS,국일신동
193250.KS,링크드
206640.KS,바디텍메드
204630.KS,스튜디오산타클로스
208640.KS,썸에이지
200470.KS,에이팩트
200670.KS,휴메딕스
189860.KS,서전기전
067390.KS,아스트
080580.KS,오킨스전자
208350.KS,지란지교시큐리티
208710.KS,포톤
160550.KS,NEW
124500.KS,아이티센글로벌
208890.KS,미래엔에듀파트너
028260.KS,삼성물산
142280.KS,녹십자엠에스
187220.KS,디티앤씨
208370.KS,셀바스헬스케어
208140.KS,정다운
149980.KS,하이로닉
084650.KS,랩지노믹스
200710.KS,에이디테크놀로지
200780.KS,비씨월드제약
207760.KS,미스터블루
196170.KS,알테오젠
206400.KS,베노티앤알
140520.KS,대창스틸
173940.KS,에프엔씨엔터
205470.KS,휴마시스
112610.KS,씨에스윈드
200230.KS,텔콘RF제약
204840.KS,지엘팜텍
204620.KS,글로벌텍스프리
196490.KS,디에이테크놀로지
018260.KS,삼성에스디에스
149010.KS,아이케이세미콘
205500.KS,넥써쓰
205100.KS,엑셈
191420.KS,테고사이언스
192440.KS,슈피겐코리아
143540.KS,영우디에스피
121060.KS,유니포인트
203650.KS,드림시큐리티
041920.KS,메디아나
204320.KS,HL만도
194480.KS,데브시스터즈
203690.KS,아크솔루션스
192410.KS,오늘이엔엠
198440.KS,강동씨앤엘
202960.KS,판도라티비
200880.KS,서연이화
187270.KS,신화콘텍
192400.KS,쿠쿠홀딩스
177830.KS,파버나인
090410.KS,덕신이피씨
004650.KS,창해에탄올
192390.KS,윈하이텍
059120.KS,아진엑스텍
200130.KS,콜마비앤에이치
133820.KS,화인베스틸
105550.KS,엣지파운드리
136660.KS,큐엠씨
199150.KS,데이터스트림즈
196450.KS,코아시아씨엠
071850.KS,캐스텍코리아
027410.KS,BGF
187790.KS,나노
192250.KS,케이사인
192820.KS,코스맥스
138080.KS,오이솔루션
053300.KS,한국정보인증
154040.KS,다산솔루에타
090850.KS,현대이지웰
140660.KS,위월드
189350.KS,코셋
184230.KS,SGA솔루션즈
178600.KS,대동고려삼
049080.KS,기가레인
150840.KS,인트로메딕
085810.KS,알티캐스트
185750.KS,종근당
170030.KS,현대공업
067570.KS,엔브이에이치코리아
134580.KS,탑코미디어
006880.KS,신송홀딩스
182360.KS,큐브엔터
171120.KS,라이온켐텍
171010.KS,램테크놀러지
138360.KS,협진
183190.KS,아세아시멘트
076610.KS,해성옵틱스
168330.KS,내츄럴엔도텍
064350.KS,현대로템
185190.KS,수프로
131970.KS,두산테스나
150900.KS,파수
170920.KS,엘티씨
119850.KS,지엔씨에너지
180640.KS,한진칼
092040.KS,아미코젠
181710.KS,NHN
130500.KS,GH신소재
170790.KS,파이오링크
151860.KS,KG에코솔루션
175330.KS,JB금융지주
089600.KS,KT나스미디어
114920.KS,대주이엔티
179720.KS,머니무브
116100.KS,태양기계
950130.KS,엑세스바이오
155660.KS,DSR
141080.KS,리가켐바이오
170900.KS,동아에스티
097800.KS,윈팩
104540.KS,코렌텍
159580.KS,제로투세븐
114810.KS,한솔아이원스
153490.KS,우리이앤엘
099190.KS,아이센스
159910.KS,에코글로우
046970.KS,우리로
113810.KS,디젠스
013870.KS,지엠비코리아
155650.KS,와이엠씨
037560.KS,LG헬로비전
149950.KS,아바텍
163560.KS,동일고무벨트
161890.KS,한국콜마
161390.KS,한국타이어앤테크놀로지
121850.KS,코이즈
161000.KS,애경케미칼
151910.KS,퓨처코어
153460.KS,네이블
106520.KS,노블엠앤비
137400.KS,피엔티
014710.KS,사조씨푸드
141000.KS,비아트론
072950.KS,빛샘전자
152550.KS,한국ANKOR유전
079980.KS,휴비스
143240.KS,사람인
147830.KS,제룡산업
091590.KS,남화토건
145270.KS,케이탑리츠
140410.KS,메지온
104830.KS,원익머트리얼즈
127120.KS,제이에스링크
007070.KS,GS리테일
130580.KS,나이스디앤비
131090.KS,시큐브
100660.KS,서암기계공업
129260.KS,인터지스
115480.KS,씨유메디칼
145990.KS,삼양사
139670.KS,키네마스터
121800.KS,비덴트
138070.KS,신진에스엠
123570.KS,이엠넷
122870.KS,와이지엔터테인먼트
089030.KS,테크윙
101240.KS,씨큐브
007820.KS,에스엠코어
115530.KS,씨엔플러스
039130.KS,하나투어
090360.KS,로보스타
131220.KS,대한과학
143160.KS,아이디스
078520.KS,에이블씨엔씨
137950.KS,제이씨케미칼
040910.KS,아이씨디
123330.KS,제닉
139050.KS,BF랩스
023000.KS,삼원강재
089980.KS,상아프론테크
031430.KS,신세계인터내셔날
140910.KS,에이리츠
138610.KS,나이벡
109080.KS,옵티시스
108380.KS,대양전기공업
047810.KS,한국항공우주
071840.KS,롯데하이마트
019770.KS,서연탑메탈
069640.KS,한세엠케이
138490.KS,코오롱ENP
137940.KS,넥스트아이
131100.KS,티엔엔터테인먼트
139480.KS,이마트
139130.KS,iM금융지주
053210.KS,케이티스카이라이프
019440.KS,세아특수강
122450.KS,KX
121440.KS,골프존홀딩스
138040.KS,메리츠금융지주
136540.KS,윈스테크넷
136480.KS,하림
023350.KS,한국종합기술
134060.KS,이퓨쳐
104480.KS,티케이케미칼
138930.KS,BNK금융지주
020150.KS,롯데에너지머티리얼즈
008470.KS,부스타
011210.KS,현대위아
136490.KS,선진
134380.KS,미원화학
121600.KS,나노신소재
093320.KS,케이아이엔엑스
130740.KS,티피씨글로벌
061970.KS,LB세미콘
131180.KS,딜리
126880.KS,제이엔케이글로벌
033560.KS,블루콤
048530.KS,인트론바이오
134790.KS,시디즈
131370.KS,알서포트
064290.KS,인텍플러스
131290.KS,티에스이
082740.KS,한화엔진
131400.KS,이브이첨단소재
117580.KS,대성에너지
126560.KS,현대퓨처넷
120240.KS,대정화금
058860.KS,KTis
130660.KS,한전산업
128660.KS,피제이메탈
131030.KS,옵투스제약
096690.KS,에이루트
900140.KS,엘브이엠씨
033830.KS,티비씨
033170.KS,시그네틱스
041460.KS,한국전자인증
126600.KS,BGF에코머티리얼즈
105740.KS,디케이락
123420.KS,위메이드플레이
111870.KS,KH 미래물산
123860.KS,아나패스
058400.KS,KNN
069140.KS,누리플랜
119830.KS,아이텍
101930.KS,인화정공
068940.KS,셀피글로벌
123840.KS,뉴온
081660.KS,미스토홀딩스
117670.KS,알파칩스
119500.KS,포메탈
058850.KS,KTcs
068240.KS,다원시스
057050.KS,현대홈쇼핑
096530.KS,씨젠
122990.KS,와이솔
126700.KS,하이비젼시스템
126640.KS,화신정공
123410.KS,코리아에프티
002150.KS,도화엔지니어링
123040.KS,엠에스오토텍
067920.KS,이글루
128820.KS,대성산업
122900.KS,아이마켓코리아
128940.KS,한미약품
119610.KS,인터로조
106190.KS,하이텍팜
105840.KS,우진
033920.KS,무학
121890.KS,에스디시스템
123750.KS,알톤
089850.KS,유비벨록스
046120.KS,오르비텍
102460.KS,이연제약
070300.KS,엑스큐어
079970.KS,투비소프트
123690.KS,한국화장품
123700.KS,에스제이엠
071200.KS,인피니트헬스케어
122690.KS,서진오토모티브
100030.KS,인지소프트
060980.KS,HL홀딩스
032830.KS,삼성생명
031440.KS,신세계푸드
900110.KS,이스트아시아홀딩스
900100.KS,애머릿지
115500.KS,케이씨에스
900120.KS,씨엑스아이
115450.KS,HLB테라퓨틱스
122350.KS,삼기
088350.KS,한화생명
115610.KS,이미지스
120030.KS,조선선재
115310.KS,인포바인
106080.KS,케이이엠텍
101330.KS,모베이스
120110.KS,코오롱인더
119650.KS,KC코트렐
071320.KS,지역난방공사
115570.KS,스타플렉스
115440.KS,우리넷
050860.KS,아세아텍
012160.KS,영흥
114630.KS,폴라리스우노
080530.KS,코디
118000.KS,메타케어
900070.KS,글로벌에스엠
099520.KS,DGI
114450.KS,그린생명과학
104460.KS,디와이피엔에프
112040.KS,위메이드
052690.KS,한전기술
108860.KS,셀바스AI
088290.KS,이원컴포텍
114190.KS,강원에너지
114090.KS,GKL
115160.KS,휴맥스
109960.KS,앱토크롬
034730.KS,SK
099410.KS,동방선기
101000.KS,KS인더스트리
109820.KS,진매트릭스
032560.KS,황금에스티
082920.KS,비츠로셀
000080.KS,하이트진로
042520.KS,한스바이오메드
082640.KS,동양생명
104200.KS,NHN벅스
052860.KS,아이앤씨
047400.KS,유니온머티리얼
105330.KS,케이엔더블유
093240.KS,형지엘리트
109740.KS,디에스케이
095700.KS,제넥신
108230.KS,톱텍
100130.KS,동국S&C
103230.KS,에스앤더블류
039490.KS,키움증권
111770.KS,영원무역
063080.KS,컴투스홀딩스
109860.KS,동일금속
053690.KS,한미글로벌
028100.KS,동아지질
102120.KS,어보브반도체
101730.KS,위메이드맥스
102710.KS,이엔에프테크놀로지
099440.KS,스맥
099220.KS,SDN
101680.KS,한국정밀기계
071970.KS,HD현대마린엔진
010240.KS,흥국
101170.KS,우림피티에스
081150.KS,티플랙스
108670.KS,LX하우시스
098660.KS,에스티오
071670.KS,에이테크솔루션
101490.KS,에스앤에스텍
100120.KS,뷰웍스
102940.KS,코오롱생명과학
101400.KS,엔시트론
105630.KS,한세실업
109070.KS,주성코퍼레이션
106240.KS,파인테크닉스
107590.KS,미원홀딩스
086890.KS,이수앱지스
104040.KS,대성파인텍
078070.KS,유비쿼스홀딩스
086900.KS,메디톡스
058630.KS,엠게임
059100.KS,아이컴포넌트
035420.KS,NAVER
067630.KS,HLB생명과학
092130.KS,이크레더블
026940.KS,부국철강
105560.KS,KB금융
100700.KS,세운메디칼
104700.KS,한국철강
098120.KS,마이크로컨텍솔
083470.KS,이엠앤아이
103590.KS,일진전기
103140.KS,풍산
011070.KS,LG이노텍
101390.KS,아이엠
076080.KS,웰크론한텍
101670.KS,하이드로리튬
094840.KS,슈프리마에이치큐
017180.KS,명문제약
063170.KS,서울옥션
047560.KS,이스트소프트
100220.KS,비상교육
096240.KS,크레버스
102260.KS,동성케미컬
101160.KS,월덱스
099320.KS,쎄트렉아이
102280.KS,쌍방울
064480.KS,브리지텍
098460.KS,고영
067000.KS,조이시티
018620.KS,우진비앤지
095610.KS,테스
053280.KS,예스24
096870.KS,엘디티
032640.KS,LG유플러스
059210.KS,메타바이오메드
097870.KS,효성오앤비
101140.KS,인바이오젠
020560.KS,아시아나항공
100840.KS,SNT에너지
100250.KS,진양홀딩스
091440.KS,한울소재과학
085310.KS,엔케이
097780.KS,에코볼트
096630.KS,에스코넥
068330.KS,일신바이오
093920.KS,서원인텍
067010.KS,이씨에스
096350.KS,대창솔루션
051600.KS,한전KPS
069920.KS,엑시온그룹
096610.KS,알에프세미
092070.KS,디엔에프
094820.KS,일진파워
086670.KS,비엠티
092440.KS,기신정기
095190.KS,이엠코리아
044450.KS,KSS해운
094280.KS,효성 ITX
092300.KS,현우산업
033270.KS,유나이티드
093640.KS,케이알엠
092200.KS,디아이씨
095910.KS,에스에너지
081580.KS,성우전자
073110.KS,엘엠에스
094970.KS,제이엠티
080520.KS,오디텍
095340.KS,ISC
085910.KS,네오티스
095500.KS,미래나노텍
027580.KS,상보
097950.KS,CJ제일제당
086040.KS,바이오톡스텍
028670.KS,팬오션
057540.KS,옴니시스템
094940.KS,푸른기술
095270.KS,웨이브일렉트로
097230.KS,HJ중공업
093190.KS,빅솔론
096760.KS,JW홀딩스
091340.KS,S&K폴리텍
096770.KS,SK이노베이션
072770.KS,율호
094480.KS,갤럭시아머니트리
086520.KS,에코프로
065150.KS,대산F&B
078340.KS,컴투스
095660.KS,네오위즈
029780.KS,삼성카드
092600.KS,앤씨앤
069410.KS,엔텔스
001780.KS,알루코
093380.KS,풍강
095720.KS,웅진씽크빅
086450.KS,동국제약
064820.KS,케이프
091580.KS,상신이디피
092460.KS,한라IMS
073540.KS,에프알텍
091120.KS,이엠텍
094850.KS,참좋은여행
094860.KS,네오리진
094800.KS,맵스리얼티1
078020.KS,LS증권
093520.KS,매커스
091970.KS,나노캠텍
092730.KS,네오팜
039200.KS,오스코텍
089010.KS,켐트로닉스
090470.KS,제이스텍
088130.KS,동아엘텍
090370.KS,메타랩스
093370.KS,후성
084110.KS,휴온스글로벌
089150.KS,케이씨티
091700.KS,파트론
086390.KS,유니테스트
090710.KS,휴림로봇
093050.KS,LF
060540.KS,에스에이티
066310.KS,큐에스아이
067280.KS,멀티캠퍼스
044380.KS,주연테크
044820.KS,코스맥스비티아이
089890.KS,코세스
034590.KS,인천도시가스
080470.KS,성창오토텍
089140.KS,넥스턴바이오
089790.KS,제이티
090150.KS,아이윈
088390.KS,이녹스
009770.KS,삼정펄프
092220.KS,KEC
092230.KS,KPX홀딩스
089230.KS,THE E&M
043150.KS,바텍
086960.KS,MDS테크
089470.KS,HDC현대EP
038060.KS,루멘스
091090.KS,세원이앤씨
083660.KS,CSA 코스믹
063570.KS,NICE인프라
086980.KS,쇼박스
068050.KS,팬엔터테인먼트
039290.KS,인포뱅크
090350.KS,노루페인트
090430.KS,아모레퍼시픽
078860.KS,엔에스이엔엠
088910.KS,동우팜투테이블
032350.KS,롯데관광개발
054950.KS,제이브이엠
090080.KS,평화산업
049800.KS,우진플라임
084730.KS,팅크웨어
035510.KS,신세계I&C
086060.KS,진바이오텍
022220.KS,티케이지애강
088790.KS,진도
088800.KS,에이스테크
088980.KS,맥쿼리인프라
023530.KS,롯데쇼핑
068760.KS,셀트리온제약
083450.KS,GST
019990.KS,에너토크
079370.KS,제우스
085670.KS,뉴프렉스
084370.KS,유진테크
083790.KS,CG인바이츠
064550.KS,바이오니아
084990.KS,헬릭스미스
083640.KS,인콘
085660.KS,차바이오텍
086280.KS,현대글로비스
078140.KS,대봉엘에스
067900.KS,와이엔텍
083550.KS,케이엠
084870.KS,티비에이치글로벌
084180.KS,수성웹툰
086790.KS,하나금융지주
001560.KS,제일연마
080420.KS,모다이노칩
083650.KS,비에이치아이
079190.KS,케스피온
079430.KS,현대리바트
082800.KS,비보존 제약
043910.KS,자연과환경
079000.KS,와토스코리아
084010.KS,대한제강
041020.KS,폴라리스오피스
078590.KS,휴림에이텍
038070.KS,서린바이오
075180.KS,새론오토모티브
083420.KS,그린케미칼
079940.KS,가비아
077360.KS,덕산하이메탈
083930.KS,아바코
067310.KS,하나마이크론
083310.KS,엘오티베큠
082660.KS,코스나인
080010.KS,이상네트웍스
084690.KS,대상홀딩스
071950.KS,코아스
078160.KS,메디포스트
082850.KS,우리바이오
080160.KS,모두투어
084680.KS,이월드
084670.KS,동양고속
042700.KS,한미반도체
078890.KS,가온그룹
050890.KS,쏠리드
004890.KS,동일산업
082210.KS,옵트론텍
082270.KS,젬백스
075130.KS,플랜티넷
010960.KS,삼호개발
073240.KS,금호타이어
073490.KS,이노와이어리스
079950.KS,인베니아
079960.KS,동양이엔피
080220.KS,제주반도체
079170.KS,한창산업
079810.KS,디이엔티
052220.KS,iMBC
079650.KS,서산
052900.KS,KX하이텍
066910.KS,손오공
049950.KS,미래컴퍼니
052460.KS,아이크래프트
079160.KS,CJ CGV
081000.KS,일진다이아
072870.KS,메가스터디
073010.KS,케이에스피
046440.KS,KG모빌리언스
078600.KS,대주전자재료
054450.KS,텔레칩스
078150.KS,HB테크놀러지
067990.KS,도이치모터스
014830.KS,유니드
051360.KS,토비스
041650.KS,상신브레이크
078130.KS,국일제지
068790.KS,DMS
023810.KS,인팩
048870.KS,시너지이노베이션
065350.KS,신성델타테크
078930.KS,GS
077500.KS,유니퀘스트
058730.KS,다스코
039340.KS,한국경제TV
034220.KS,LG디스플레이
064260.KS,다날
078000.KS,텔코웨어
011080.KS,형지I&C
050090.KS,비케이홀딩스
057030.KS,YBM넷
065770.KS,CS
074430.KS,아미노로직스
066700.KS,테라젠이텍스
066900.KS,디에이피
078350.KS,한양디지텍
077970.KS,STX엔진
075970.KS,동국알앤에스
069540.KS,빛과전자
073190.KS,듀오백
054090.KS,삼진엘앤디
041910.KS,폴라리스AI파마
034310.KS,NICE
019680.KS,대교
067770.KS,세진티에스
070590.KS,한솔인티큐브
073570.KS,리튬포어스
073640.KS,테라사이언스
065680.KS,우주일렉트로
057880.KS,푸른소나무
024110.KS,기업은행
074610.KS,이엔플러스
067160.KS,SOOP
060570.KS,드림어스컴퍼니
066410.KS,버킷스튜디오
074600.KS,원익QnC
071280.KS,로체시스템즈
069510.KS,에스텍
067170.KS,오텍
054780.KS,키이스트
041440.KS,현대에버다임
025750.KS,한솔홈데코
072020.KS,중앙백신
065510.KS,휴비츠
072470.KS,우리산업홀딩스
068930.KS,디지털대성
007660.KS,이수페타시스
035250.KS,강원랜드
069330.KS,유아이디
064760.KS,티씨케이
037270.KS,YG PLUS
052710.KS,아모텍
072710.KS,농심홀딩스
065950.KS,웰크론
047310.KS,파워로직스
071050.KS,한국금융지주
041520.KS,이엘씨
072130.KS,유엔젤
034120.KS,SBS
064240.KS,홈캐스트
066790.KS,씨씨에스
069080.KS,웹젠
036570.KS,엔씨소프트
071090.KS,하이스틸
067080.KS,대화제약
066590.KS,우수AMS
067290.KS,JW신약
066130.KS,하츠
065450.KS,빅텍
065130.KS,탑엔지니어링
069730.KS,DSR제강
065440.KS,이루온
006890.KS,태경케미컬
049630.KS,재영솔루텍
021650.KS,한국큐빅
051370.KS,인터플렉스
065570.KS,삼영이엔씨
065650.KS,하이퍼코퍼레이션
066980.KS,한성크린텍
016100.KS,리더스코스메틱
011500.KS,한농화성
042040.KS,케이피엠테크
066670.KS,디티씨
066430.KS,아이로보틱스
047820.KS,초록뱀미디어
064090.KS,인크레더블버즈
049960.KS,쎌바이오텍
053290.KS,NE능률
064520.KS,테크엘
069960.KS,현대백화점
035600.KS,KG이니시스
065170.KS,비엘팜텍
069460.KS,대호에이엘
069620.KS,대웅제약
041590.KS,플래스크
027740.KS,마니커
036530.KS,SNT홀딩스
069260.KS,티케이지휴켐스
042600.KS,새로닉스
033530.KS,SJG세종
065500.KS,오리엔트정공
060900.KS,DGP
066620.KS,국보디자인
052770.KS,아이톡시
065420.KS,에스아이리소스
064800.KS,포니링크
058430.KS,포스코스틸리온
039980.KS,폴라리스AI
048410.KS,현대바이오
068290.KS,삼성출판사
067830.KS,세이브존I&C
058610.KS,에스피지
045340.KS,토탈소프트
030610.KS,교보증권
065710.KS,서호전기
065690.KS,파커스
009240.KS,한샘
060560.KS,HC홈센타
043710.KS,서울리거
036010.KS,아비코전자
060280.KS,큐렉소
060230.KS,소니드
046940.KS,우원개발
057680.KS,티사이언티픽
060150.KS,인선이엔티
065530.KS,와이어블
063440.KS,SM Life Design
017370.KS,우신시스템
051160.KS,지어소프트
065060.KS,지엔코
049180.KS,셀루메드
060720.KS,KH바텍
061040.KS,알에프텍
050760.KS,에스폴리텍
054210.KS,이랜텍
050120.KS,ES큐브
054410.KS,케이피티유
060310.KS,3S
066570.KS,LG전자
061250.KS,화일약품
053980.KS,오상자이엘
024720.KS,콜마홀딩스
054050.KS,농우바이오
039420.KS,케이엘넷
064960.KS,SNT모티브
039440.KS,에스티아이
049550.KS,잉크테크
054670.KS,대한뉴팜
060590.KS,씨티씨바이오
049070.KS,인탑스
060370.KS,LS마린솔루션
051380.KS,피씨디렉트
037710.KS,광주신세계
053270.KS,구영테크
034950.KS,한국기업평가
060260.KS,뉴보텍
060380.KS,동양에스텍
046310.KS,백금T&A
049720.KS,고려신용정보
052670.KS,제일바이오
046890.KS,서울반도체
013990.KS,아가방컴퍼니
058450.KS,한주에이알티
059090.KS,미코
054930.KS,유신
035200.KS,프럼파스트
054040.KS,한국컴퓨터
048470.KS,대동스틸
042500.KS,링네트
040350.KS,크레오에스지
054300.KS,팬스타엔터프라이즈
047080.KS,한빛소프트
020760.KS,일진디스플
060250.KS,NHN KCP
056730.KS,CNT85
053260.KS,금강철강
060240.KS,스타코링크
033180.KS,KH 필룩스
041930.KS,동아화성
054220.KS,비츠로시스
014940.KS,오리엔탈정공
043590.KS,웰킵스하이텍
058470.KS,리노공업
045300.KS,성우테크론
056190.KS,에스에프에이
056700.KS,신화인터텍
054940.KS,엑사이엔씨
043370.KS,피에이치에이
063160.KS,종근당바이오
054620.KS,APS
056360.KS,코위버
043260.KS,성호전자
051390.KS,YW
054540.KS,삼영엠텍
053350.KS,이니텍
054630.KS,에이디칩스
056080.KS,유진로봇
044490.KS,태웅
053950.KS,경남제약
053700.KS,삼보모터스
054920.KS,한컴위드
041960.KS,코미팜
053160.KS,프리엠스
052400.KS,코나아이
054180.KS,메디콕스
043090.KS,더테크놀로지
049470.KS,비트플래닛
053050.KS,지에스이
054800.KS,아이디스홀딩스
047770.KS,코데즈컴바인
053800.KS,안랩
055550.KS,신한지주
040300.KS,YTN
058820.KS,CMG제약
035900.KS,JYP Ent.
021320.KS,KCC건설
053060.KS,세동
053610.KS,프로텍
052790.KS,액토즈소프트
053450.KS,세코닉스
053030.KS,바이넥스
052420.KS,오성첨단소재
021240.KS,코웨이
053620.KS,태양
052300.KS,오션인더블유
049520.KS,유아이엘
048910.KS,대원미디어
051980.KS,중앙첨단소재
058650.KS,세아홀딩스
051500.KS,CJ프레시웨이
049120.KS,파인디앤씨
043360.KS,디지아이
052330.KS,코텍
052600.KS,한네트
052020.KS,에스티큐브
043220.KS,티에스넥스젠
051780.KS,큐로홀딩스
033790.KS,피노
051490.KS,나라엠앤디
038870.KS,에코바이오
045660.KS,에이텍
045390.KS,대아티아이
050110.KS,캠시스
052260.KS,현대바이오랜드
036540.KS,SFA반도체
051900.KS,LG생활건강
051910.KS,LG화학
047040.KS,대우건설
047050.KS,포스코인터내셔널
042670.KS,HD현대인프라코어
042660.KS,한화오션
038500.KS,삼표시멘트
051630.KS,진양화학
024850.KS,HLB이노베이션
048550.KS,SM C&C
049830.KS,승일
048770.KS,TPC
049430.KS,코메론
044480.KS,빌리언스
046390.KS,삼화네트웍스
014620.KS,성광벤드
048430.KS,유라테크
017480.KS,삼현철강
049480.KS,오픈베이스
042510.KS,라온시큐어
036670.KS,삼양케이씨아이
039830.KS,오로라
036190.KS,금화피에스시
046070.KS,코다코
041830.KS,인바디
014570.KS,고려제약
045520.KS,크린앤사이언스
044180.KS,KD
044960.KS,이글벳
032080.KS,아즈텍WB
034020.KS,두산에너빌리티
010470.KS,오리콤
044340.KS,위닉스
042940.KS,상지건설
010040.KS,한국내화
048830.KS,엔피케이
000250.KS,삼천당제약
044780.KS,에이치케이
045510.KS,정원엔시스
045100.KS,한양이엔지
040160.KS,누리플렉스
043340.KS,에쎈테크
043650.KS,국순당
037950.KS,엘컴텍
039030.KS,이오테크닉스
038540.KS,상상인
018680.KS,서울제약
046210.KS,HLB파나진
039860.KS,나노엔텍
045060.KS,오공
043100.KS,알파녹스
042370.KS,비츠로테크
045970.KS,코아시아
040420.KS,정상제이엘에스
007370.KS,진양제약
043610.KS,KT지니뮤직
036890.KS,진성티이씨
039010.KS,현대에이치티
009300.KS,삼아제약
043200.KS,파루
042110.KS,에스씨디
039740.KS,한국정보공학
039840.KS,디오
042420.KS,네오위즈홀딩스
039560.KS,다산네트웍스
038460.KS,바이오스마트
032820.KS,우리기술
001540.KS,안국약품
039310.KS,세중
041190.KS,우리기술투자
038530.KS,케이바이오
036640.KS,HRS
031330.KS,에스에이엠티
038620.KS,위즈코프
039020.KS,이건홀딩스
038950.KS,파인디지털
036800.KS,나이스정보통신
040610.KS,SG&G
038880.KS,아이에이
038680.KS,에스넷
041510.KS,에스엠
010280.KS,아이티센엔텍
037760.KS,쎄니트
036480.KS,대성미생물
038110.KS,에코플라스틱
032500.KS,케이엠더블유
039610.KS,화성밸브
039240.KS,경남스틸
038290.KS,마크로젠
037440.KS,희림
038390.KS,레드캡투어
036830.KS,솔브레인홀딩스
036810.KS,에프에스티
036690.KS,코맥스
037370.KS,EG
036620.KS,감성코퍼레이션
037350.KS,성도이엔지
038010.KS,제일테크노스
016450.KS,한세예스24홀딩스
001810.KS,무림SP
036630.KS,세종텔레콤
036710.KS,심텍홀딩스
037070.KS,파세코
036560.KS,KZ정밀
016250.KS,SGC E&C
035890.KS,서희건설
036930.KS,주성엔지니어링
036030.KS,케이티알파
016710.KS,대성홀딩스
032190.KS,다우데이타
005290.KS,동진쎄미켐
003100.KS,선광
036170.KS,에이치엠넥스
026040.KS,제이에스티나
036180.KS,지더블유바이텍
037230.KS,한국팩키지
037460.KS,삼지전자
037400.KS,우리엔터프라이즈
003220.KS,대원제약
036460.KS,한국가스공사
033640.KS,네패스
037330.KS,인지디스플레
036090.KS,위지트
036200.KS,유니셈
024800.KS,유성티엔에스
027050.KS,코리아나
